UDR INC  (UDR) CashFlowFlag INCOME STATEMENT
Fiscal year ends in December. USD in millions except per share data.,2012-12,2013-12,2014-12,2015-12,2016-12,TTM
Revenue,729,759,818,895,960
Net Margin %,41.02,118.16,-15.53,-17.38,1.49,27.88,5.41,18.41,37.63,30.11,31.44
Asset Turnover (Average),0.11,0.12,0.12,0.12,0.12,0.11,0.11,0.12,0.12,0.13,0.13
Return on Assets %,4.33,14.03,-1.87,-2.11,0.17,2.99,0.60,2.21,4.64,3.77,3.97
Financial Leverage (Average),5.73,3.64,3.81,3.75,3.07,2.34,2.46,2.55,2.68,2.52,2.59
Return on Equity %,23.98,62.00,-6.94,-7.96,0.58,7.93,1.44,5.52,12.15,9.80,10.30
Return on Invested Capital %,8.88,17.81,0.98,0.78,2.87,4.71,1.90,3.63,7.15,6.33,6.59
Interest Coverage,,,,,,,0.96,1.01,1.83,1.86,2.01
